Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BSE,EQ,22-Jan-21,609.35,609.35,616.2,597,600.95,601.05,603.82,276771,167119496.4,16153
BSE,EQ,25-Jan-21,601.05,605,609.35,586.35,593.9,596.1,597.55,183468,109630740.1,9085
BSE,EQ,27-Jan-21,596.1,596.6,596.6,580,584,582.8,586,259742,152207984.8,10866
BSE,EQ,28-Jan-21,582.8,580,600.45,576.2,592,595.35,589.85,232881,137365967.8,9180
BSE,EQ,29-Jan-21,595.35,592.6,600.85,582.6,588,588.15,594.03,143301,85124796.1,5628
BSE,EQ,01-Feb-21,588.15,598.95,606,585,603,600.05,597.41,223020,133234231,7626
BSE,EQ,02-Feb-21,600.05,609.5,623.65,601.25,607.95,608.25,610.2,337177,205746815,9711
BSE,EQ,03-Feb-21,608.25,608.25,622.45,603.1,622,619.65,615.02,528240,324880133.2,11992
BSE,EQ,04-Feb-21,619.65,630,631,611.2,614,614.15,621.26,641325,398427099.4,15176
BSE,EQ,05-Feb-21,614.15,618,619.05,607.1,609.8,610.15,612.34,272826,167061413.9,8153
BSE,EQ,08-Feb-21,610.15,611,619.9,605,610.95,608.2,611.77,273177,167121528.4,8326
BSE,EQ,09-Feb-21,608.2,610.85,622,603,604.9,605,612.27,413323,253066319.1,9737
BSE,EQ,10-Feb-21,605,608.2,608.65,596.5,600.4,599.85,602.64,225950,136166435,8324
BSE,EQ,11-Feb-21,599.85,599,605.6,598,603.6,602.6,602.08,250489,150813963.5,8567
BSE,EQ,12-Feb-21,602.6,603.6,611.9,594,595.8,595.7,602.1,385081,231858560.1,12627
BSE,EQ,15-Feb-21,595.7,598,624.5,598,607.65,608.35,615.39,1108808,682343979.2,30732
BSE,EQ,16-Feb-21,608.35,611.9,616.4,571.6,597,596.45,597.46,661120,394993166.3,26094
BSE,EQ,17-Feb-21,596.45,597,603,585,589.15,589.05,591.98,355248,210300937.2,11557
BSE,EQ,18-Feb-21,589.05,594,594,584.25,585,586.05,587.32,300620,176558844.3,15467
BSE,EQ,19-Feb-21,586.05,586,601,582.1,592.6,588,591.65,443260,262254235.5,11916
BSE,EQ,22-Feb-21,588,586,593.9,573,574,575.25,583.19,374390,218341926.7,12378
BSE,EQ,23-Feb-21,575.25,580,583.25,571,572,572.15,574.71,409784,235508214.5,14758
BSE,EQ,24-Feb-21,572.15,575,599,575,580.15,580.05,583.7,290103,169334208.4,9150
